materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
93,"GEOLOGIA DE INGENIERIA",1,4.0,5,12.0,"116",6,OK
95,"GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA",1,3.0,15,8.0,"307",180,OK
98,"GESTION DE CALIDAD AMBIENTAL",1,4.0,18,12.0,"116",6,OK
99,"GESTION DEL MANTENIMIENTO",1,4.0,20,8.0,"116",6,OK
103,"HIDRAULICA Y NEUMATICA",1,4.0,9,8.0,"116",6,OK
104,"HIDRODINAMICA NAVAL",1,4.0,1,8.0,"B22",32,OK
105,"HIDROLOGIA AVANZADA II",1,4.0,23,11.0,"A12",119,OK
107,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",1,4.0,22,8.0,"B21",39,OK
111,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",1,4.0,10,8.0,"501",62,OK
115,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",1,4.0,18,8.0,"309",16,OK
116,"INGENIERIA DE SOFTWARE",1,4.0,10,8.0,"B23",101,OK
118,"INGLES CONVERSACIONAL (ACT.COMPL.2)",1,4.0,17,8.0,"303",76,OK
120,"INGLES TECNICO 1 (ACT.COMPL.1)",1,4.0,16,8.0,"310",16,OK
122,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",1,4.0,13,12.0,"116",6,OK
124,"INSTRUMENTACION Y CONTROL",1,3.0,20,8.0,"C01",194,OK
127,"INT. A LA COMBUSTION",1,4.0,16,16.0,"116",6,OK
129,"INT. A LA CORROSION DEL HORMIGON ARMADO",1,4.0,12,12.0,"116",6,OK
131,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",1,4.0,5,8.0,"502",20,OK
132,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.(ÁREA)",1,4.0,7,16.0,"116",6,OK
135,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",1,4.0,21,16.0,"116",6,OK
140,"INT. A LA INGENIERIA SANITARIA",1,4.0,1,12.0,"116",6,OK
144,"INT. AL ANALISIS RURAL",1,4.0,24,16.0,"310",16,OK
145,"INT. A LA OPTICA",1,3.5,12,8.0,"A11",25,OK
146,"INT. A LA PREVENCION DE RIESGOS LABORALES",1,4.0,21,8.0,"705",20,OK
149,"INT. AL CONTROL INDUSTRIAL",1,4.0,11,8.0,"305",35,OK
153,"INT. AL SISTEMA CLIMATICO",1,4.0,13,8.0,"B23",101,OK
154,"INT. AL TRANSPORTE",1,4.0,1,8.0,"303",76,OK
156,"LEGISLACION TERRITORIAL",1,4.0,25,8.0,"303",76,OK
159,"MAMPOSTERIA ESTRUCTURAL",1,4.0,4,8.0,"116",6,OK
160,"MANTENIMIENTO DE BUQUES",1,4.0,3,16.0,"116",6,OK
161,"MAQUINARIA NAVAL",1,4.0,22,12.0,"116",6,OK
166,"MAQUINAS Y EQUIPOS PARA TRANSPORTE",1,4.0,14,8.0,"A12",119,OK
167,"MATEMATICA",1,4.0,8,16.0,"116",6,OK
173,"MATEMATICA DISCRETA Y LOGICA 1",1,4.0,15,16.0,"116",6,OK
174,"MATEMATICA DISCRETA Y LOGICA 2",1,4.0,4,16.0,"116",6,OK
178,"MECANICA DE LOS FLUIDOS",1,4.0,6,8.0,"501",62,OK
179,"MECANICA ESTRUCTURAL",1,4.0,8,8.0,"B22",32,OK
182,"MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS",1,4.0,21,12.0,"116",6,OK
183,"METALURGIA DE TRANSFORMACION",1,4.0,25,16.0,"116",6,OK
184,"METALURGIA FISICA",1,4.0,23,8.0,"116",6,OK
186,"METEOROLOGIA DINAMICA Y SINOPTICA",1,4.0,6,12.0,"116",6,OK
188,"MODULO TALLER EXTENSION ING.AMBIENTAL 1",1,4.0,24,11.5,"501",62,OK
189,"MODULO TALLER EXTENSION ING.AMBIENTAL 2",1,4.0,7,8.0,"311",29,OK
190,"MOTORES DE COMB. INT. Y TURBINAS DE GAS",1,4.0,14,12.0,"C21",25,OK
193,"OPTICA",1,4.0,12,11.0,"B01",223,OK
194,"ORDENAMIENTO TERRITORIAL 1",1,4.0,1,16.0,"116",6,OK
195,"ORDENAMIENTO TERRITORIAL 2",1,4.0,3,12.0,"116",6,OK
199,"PRINCIPIOS DE PROGRAMACION",1,4.0,8,12.0,"116",6,OK
204,"PRODUCCION CARTOGRAFICA",1,4.0,2,16.0,"116",6,OK
208,"PROGRAMACION AVANZADA",1,4.0,4,12.0,"116",6,OK
209,"PROYECTO",1,3.0,23,12.0,"C21",25,OK
210,"PROYECTO DE INVERSION",1,4.0,9,12.0,"116",6,OK
213,"REDES DE COMPUTADORAS",1,3.0,14,8.0,"B01",223,OK
217,"REFRIGERACION",1,4.0,24,11.0,"B21",39,OK
218,"REFRIGERACION INDUSTRIAL",1,4.0,25,8.0,"Actos",128,OK
219,"RELACIONES PERSONALES Y LABORALES",1,4.0,13,16.0,"116",6,OK
220,"REPRESENTACION GRAFICA PARA INDUSTRIAS DE PROC.",1,4.0,10,8.0,"31",35,OK
222,"RESISTENCIA DE MATERIALES 2",1,3.0,15,8.0,"A01",145,OK
224,"SEGURIDAD INDUSTRIAL",1,4.0,12,8.0,"Hall",100,OK
228,"SISTEMAS DE INFORMACION GEOGR. AVANZADO",1,4.0,19,8.0,"B01",223,OK
230,"SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS",1,4.0,3,8.0,"301",76,OK
231,"SISTEMAS OPERATIVOS",1,4.0,17,16.0,"116",6,OK
234,"TALLER DE CARTOGRAFIA",1,4.0,15,8.0,"116",6,OK
236,"TALLER REPR. Y COM. GRAFICA - MODULO_CIVIL",1,4.0,4,8.0,"725",20,OK
237,"TECNOLOGIA DEL HORMIGON",1,4.0,25,8.0,"Piso",70,OK
238,"TECNOLOGIA DE SERVICIOS AUDIOVISUALES",1,4.0,6,8.0,"B12",141,OK
239,"TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",1,4.0,6,16.0,"116",6,OK
241,"TECNOLOGIA Y SERV. INDUSTRIALES 2",1,4.0,25,12.0,"116",6,OK
242,"TEC.Y UTILIZACION DE GASES COMBUSTIBLES",1,4.0,18,11.0,"312",94,OK
244,"TEORIA DE ERRORES 1",1,4.0,18,8.0,"727",20,OK
245,"TEORIA DE ERRORES 2",1,4.0,15,12.0,"116",6,OK
246,"TEORIA DE INSTRUMENTAL",1,4.0,12,8.0,"722",10,OK
247,"TEORIA DEL BUQUE",1,4.0,3,8.0,"Actos",128,OK
249,"TEORIA DE MAQUINAS Y MECANISMOS",1,4.0,9,16.0,"116",6,OK
250,"TEORIA DE RESTRICCIONES",1,4.0,9,8.0,"Hall",100,OK
252,"TIEMPOS Y METODOS",1,4.0,2,12.0,"116",6,OK
