dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
2,18,16.5,71,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,72,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85
2,19,17.0,71,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,72,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85
2,20,17.5,71,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,72,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85
2,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,72,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85
2,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,72,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85
2,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85
2,24,19.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85
2,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
2,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
3,1,8.0,V,V,243,V,V,V,V,147,V,V,28,V,V,118,3,V,V,V,V,75,47,V,V,V,V,V,V,V,V,V,220,V,246,V,V,V,V,225,63
3,2,8.5,V,V,243,V,V,V,V,147,V,V,28,V,V,118,3,V,V,V,V,75,47,V,V,V,V,V,V,V,V,V,220,V,246,V,V,V,V,225,63
3,3,9.0,V,V,243,V,V,V,V,147,V,V,28,V,V,118,3,V,V,V,V,75,47,V,V,V,V,V,V,V,V,V,220,V,246,V,V,V,V,225,63
3,4,9.5,V,V,243,V,V,V,V,147,V,V,28,V,V,118,3,V,V,V,V,75,47,V,V,V,V,V,V,V,V,V,220,V,246,V,V,V,V,225,63
3,5,10.0,V,V,243,V,V,V,V,147,V,V,28,V,V,118,3,V,V,V,V,75,47,V,V,V,V,V,V,V,V,V,220,V,246,V,V,V,V,225,63
3,6,10.5,V,V,243,V,V,V,V,147,V,V,28,V,V,118,3,V,V,V,V,75,47,V,V,V,V,V,V,V,V,V,220,V,246,V,V,V,V,225,63
3,7,11.0,V,V,243,V,V,V,V,147,V,V,28,V,V,118,3,V,V,V,V,75,47,V,V,V,V,V,V,V,V,V,220,V,246,V,V,V,V,225,63
3,8,11.5,V,V,243,V,V,V,V,147,V,V,28,V,V,118,3,V,V,V,V,75,47,V,V,V,V,V,V,V,V,V,220,V,246,V,V,V,V,225,63
3,9,12.0,V,V,V,V,V,V,V,V,V,V,V,V,V,251,V,V,V,V,V,V,182,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,115,154
3,10,12.5,V,V,V,V,V,V,V,V,V,V,V,V,V,251,V,V,V,V,V,V,182,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,115,154
3,11,13.0,V,V,V,V,V,V,V,V,V,V,V,V,V,251,V,V,V,V,V,V,182,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,115,154
3,12,13.5,V,V,V,V,V,V,V,V,V,V,V,V,V,251,V,V,V,V,V,V,182,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,154
3,13,14.0,V,V,V,V,V,V,V,V,V,V,V,V,V,251,V,V,V,V,V,V,182,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,154
3,14,14.5,V,V,V,V,V,V,V,V,V,V,V,V,V,251,V,V,V,V,V,V,182,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,154
3,15,15.0,V,V,V,V,V,V,V,V,V,V,V,V,V,251,V,V,V,V,V,V,182,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,154
3,16,15.5,V,V,V,V,V,V,V,V,V,V,V,V,V,251,V,V,V,V,V,V,182,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,154
3,17,16.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203
3,18,16.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203
3,19,17.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203
3,20,17.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203
3,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203
3,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203
3,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203
