generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
193,294.00,299.60,13.1400,12.9294,294.000000,299.600000,-13.140000,-12.929400,100,100,32379
194,294.00,298.80,13.1400,12.8991,294.000000,298.800000,-13.140000,-12.899114,100,100,32549
195,294.00,299.05,13.1514,12.9171,294.000000,299.050000,-13.151429,-12.917143,100,100,32682
196,294.00,298.27,13.1743,12.8742,294.000000,298.270000,-13.174286,-12.874229,100,100,32808
197,294.00,298.76,13.1743,12.9201,294.000000,298.760000,-13.174286,-12.920143,100,100,32933
198,294.00,299.01,13.1886,12.9509,294.000000,299.010000,-13.188571,-12.950943,100,100,33064
199,294.00,299.16,13.1886,12.9728,294.000000,299.160000,-13.188571,-12.972800,100,100,33198
200,294.00,298.42,13.1886,12.9492,294.000000,298.420000,-13.188571,-12.949229,100,100,33345
201,294.00,298.65,13.2171,12.9659,294.000000,298.650000,-13.217143,-12.965943,100,100,33486
202,294.00,298.64,13.2171,12.9844,294.000000,298.640000,-13.217143,-12.984429,100,100,33633
203,294.00,298.18,13.2171,12.9707,294.000000,298.180000,-13.217143,-12.970743,100,100,33774
204,294.00,298.48,13.2171,13.0133,294.000000,298.480000,-13.217143,-13.013257,100,100,33919
205,294.00,298.48,13.2171,13.0213,294.000000,298.480000,-13.217143,-13.021343,100,100,34059
206,294.00,298.61,13.2371,13.0423,294.000000,298.610000,-13.237143,-13.042314,100,100,34187
207,294.00,299.48,13.2371,13.0746,294.000000,299.480000,-13.237143,-13.074571,100,100,34335
208,294.00,299.21,13.2371,13.0737,294.000000,299.210000,-13.237143,-13.073714,100,100,34471
209,294.00,299.18,13.2486,13.0703,294.000000,299.180000,-13.248571,-13.070314,100,100,34611
210,294.00,299.09,13.2486,13.0661,294.000000,299.090000,-13.248571,-13.066114,100,100,34770
211,294.00,299.20,13.2657,13.0697,294.000000,299.200000,-13.265714,-13.069657,100,100,34965
212,294.00,299.86,13.2971,13.1102,294.000000,299.860000,-13.297143,-13.110200,100,100,35108
213,294.00,299.78,13.3343,13.0919,294.000000,299.780000,-13.334286,-13.091914,100,100,35271
214,294.00,298.96,13.3343,13.0766,294.000000,298.960000,-13.334286,-13.076571,100,100,35437
215,294.00,299.34,13.3343,13.1083,294.000000,299.340000,-13.334286,-13.108257,100,100,35628
216,294.00,300.00,13.3343,13.1359,294.000000,300.000000,-13.334286,-13.135914,100,100,35778
217,294.00,300.23,13.3343,13.1551,294.000000,300.230000,-13.334286,-13.155143,100,100,35947
218,294.00,300.57,13.3343,13.1817,294.000000,300.570000,-13.334286,-13.181743,100,100,36131
219,294.00,300.99,13.3429,13.1759,294.000000,300.990000,-13.342857,-13.175857,100,100,36291
220,294.00,301.60,13.4314,13.2061,294.000000,301.600000,-13.431429,-13.206114,100,100,36439
221,294.00,300.76,13.4314,13.1967,294.000000,300.760000,-13.431429,-13.196714,100,100,36599
222,294.00,301.13,13.4314,13.2035,294.000000,301.130000,-13.431429,-13.203543,100,100,36745
223,294.00,302.00,13.4371,13.2161,294.000000,302.000000,-13.437143,-13.216086,100,100,36878
224,294.00,302.74,13.4371,13.2389,294.000000,302.740000,-13.437143,-13.238886,100,100,37013
225,294.00,303.11,13.4371,13.2555,294.000000,303.110000,-13.437143,-13.255457,100,100,37150
226,294.00,302.86,13.4457,13.2381,294.000000,302.860000,-13.445714,-13.238086,100,100,37291
227,294.00,302.73,13.4457,13.2457,294.000000,302.730000,-13.445714,-13.245714,100,100,37431
228,294.00,303.48,13.4457,13.2771,294.000000,303.480000,-13.445714,-13.277057,100,100,37562
