nombre_uc,202407,Duracion,semestre,carrera
INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.(ÁREA),1,4,,
INT. A LA EVALUACION Y GESTION AMBIENTAL,3,4,,
INT. A LA FISICA MODERNA,14,4,,
INT. A LA GEODESIA Y SIST. DE POS. GLOBAL,1,4,,
INT. A LA INGENIERIA BIOQUIMICA,10,4,8,alimentos;quimica
INT. A LA INGENIERIA DE PROCESOS,6,4,4,alimentos;produccion
INT. A LA INGENIERIA DE SOFTWARE,12,3,7,computacion
INT. A LA INGENIERIA NAVAL,2,4,1,naval
INT. A LA INGENIERIA SANITARIA,1,4,8,civil
INT. A LA INVESTIGACION DE OPERACIONES,68,4,5,computacion;produccion;mecanica
INT. A LA MECANICA DE LOS FLUIDOS,4,4,,
INT. A LA MECANICA DE SUELOS,22,3.5,7,civil
INT. AL ANALISIS RURAL,1,4,,
INT. A LA OPTICA,1,3.5,,
INT. A LA PREVENCION DE RIESGOS LABORALES,1,4,9,produccion;mecanica;naval
INT. A LAS ECUACIONES DIFERENCIALES,20,3,4,electrica;civil;alimentos;produccion;naval
INT. A LA TERMODINAMICA,2,3,,
INT. AL CONTROL INDUSTRIAL,1,4,7,mecanica
INT. AL DERECHO,9,2,,
INT. A LOS MICROPROCESADORES,14,4,5,electrica
INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.,5,4,,
INT. AL SISTEMA CLIMATICO,1,4,,
INT. AL TRANSPORTE,1,4,10,civil
LABORATORIO DE TECNOLOGIA DEL HORMIGON,3,4,,
LEGISLACION TERRITORIAL,1,4,,
LEGISLACION Y RELACIONES INDUSTRIALES,9,2,10,electronica;produccion;mecanica;naval
LOGICA,109,4,3,computacion;electrica
MAMPOSTERIA ESTRUCTURAL,1,4,,
MANTENIMIENTO DE BUQUES,1,4,9,naval
MAQUINARIA NAVAL,1,4,8,naval
MAQUINAS ELECTRICAS,3,2.5,6,electronica
MAQUINAS PARA FLUIDOS,8,4,,
MAQUINAS PARA FLUIDOS I,30,3,7,mecanica;naval
MAQUINAS PARA FLUIDOS II,3,4,8,mecanica
MAQUINAS Y EQUIPOS PARA TRANSPORTE,1,4,,
MATEMATICA,1,4,,
MATEMATICA 1,12,3,1,tecnologo telecomunicacione
MATEMATICA 2,2,3,1,tecnologo telecomunicacione
MATEMATICA 3,10,3,2,tecnologo telecomunicacione
MATEMATICA DISCRETA 1,542,3,1,computacion
MATEMATICA DISCRETA 2,86,3,2,computacion
MATEMATICA DISCRETA Y LOGICA 1,1,4,,
MATEMATICA DISCRETA Y LOGICA 2,1,4,,
MATEMATICA INICIAL,223,4,1,todas
MATERIALES Y ENSAYOS,18,4,5,civil
MECANICA APLICADA (ING.QUÍM),7,3,8,quimica
MECANICA DE LOS FLUIDOS,1,4,,
MECANICA ESTRUCTURAL,1,4,,
MECANICA NEWTONIANA,88,4,3,electronica;civil;produccion;mecanica;naval
MEDIDAS ELECTRICAS,27,4,7,electrónica
MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS,1,4,,
METALURGIA DE TRANSFORMACION,1,4,7,mecanica;naval
METALURGIA FISICA,1,4,6,mecanica;naval
MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL,2,4,8,civil
METEOROLOGIA DINAMICA Y SINOPTICA,1,4,,
METODOS NUMERICOS,59,3,4,electronica;computación;produccion
MODULO TALLER EXTENSION ING.AMBIENTAL 1,1,4,,
MODULO TALLER EXTENSION ING.AMBIENTAL 2,1,4,,
MOTORES DE COMB. INT. Y TURBINAS DE GAS,1,4,,
MOTORES DE COMBUSTION INTERNA,5,3,9,mecanica;naval
OBRAS HIDRAULICAS,2,4,,
OPTICA,1,4,6,produccion
ORDENAMIENTO TERRITORIAL 1,1,4,8,agrimensura
ORDENAMIENTO TERRITORIAL 2,1,4,9,agrimensura
PATOLOGIA DE LAS ESTRUCTURAS,5,2,,
PLANEAMIENTO ESTRATEGICO Y ESTRATEGIA COMPETITIVA,2,4,9,produccion
POTABILIZACION DE AGUAS,2,4,,
PRINCIPIOS DE PROGRAMACION,1,4,,
PRINCIPIOS DE QUIMICA GENERAL,113,4,1,civil;produccion
PROBABILIDAD Y ESTADISTICA,127,3,3,todas
PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO,2,1.5,8,civil
PROCEDIMIENTOS CONST.PARA ESTRUCTURAS,11,2,7,civil
PRODUCCION CARTOGRAFICA,1,4,,
PROGRAMACION 1,235,3,2,electronica
PROGRAMACION 3,42,3,4,computacion
PROGRAMACION 4,130,3,5,computacion
PROGRAMACION AVANZADA,1,4,,
PROYECTO,1,3,10,todas
PROYECTO DE INVERSION,1,4,10,
PUENTES,2,4,,
REDES DE ACCESO,2,4,,
REDES DE COMPUTADORAS,1,3,6,computacion
REDES DE DATOS 1,3,2,6,electronica
REDES DE DATOS 2,2,4,7,sistemas de comunicación
REDES ELECTRICAS,4,3,7,electronica
REFRIGERACION,1,4,8,mecanica
REFRIGERACION INDUSTRIAL,1,4,,
RELACIONES PERSONALES Y LABORALES,1,4,,
REPRESENTACION GRAFICA PARA INDUSTRIAS DE PROC.,1,4,,
RESISTENCIA DE MATERIALES 1,8,4,4,civil
RESISTENCIA DE MATERIALES 2,1,3,6,civil
SEGURIDAD EN LA CONSTRUCCION,4,4,8,civil
SEGURIDAD INDUSTRIAL,1,4,,
SEÑALES ALEATORIAS Y MODULACION,3,4,6,electronica
SEÑALES Y SISTEMAS,64,3.5,5,electronica
SISTEMAS DE CONDUCCION EN ING.SANITARIA,3,4,,
SISTEMAS DE INFORMACION GEOGR. AVANZADO,1,4,,
SISTEMAS DE REFERENCIA EN GEODESIA,4,4,3,agrimensura
SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS,1,4,8,mecanica;naval
SISTEMAS OPERATIVOS,1,4,5,computacion
SISTEMAS Y CONTROL,8,4,6,electronica
SUBESTACIONES EN MEDIA TENSION,4,4,9,electronica
TALLER DE CARTOGRAFIA,1,4,,
TALLER DE DATOS ESPAC.Y SIST.DE INF.GEO.,3,4,,
TALLER REPR. Y COM. GRAFICA - MODULO_CIVIL,1,4,,
TECNOLOGIA DEL HORMIGON,1,4,7,civil
TECNOLOGIA DE SERVICIOS AUDIOVISUALES,1,4,,
TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,1,4,,
TECNOLOGIA Y SERV. INDUSTRIALES 1,3,4,7,quimica
TECNOLOGIA Y SERV. INDUSTRIALES 2,1,4,8,quimica
TEC.Y UTILIZACION DE GASES COMBUSTIBLES,1,4,,
TEORIA DE CIRCUITOS,15,3,4,electronica
TEORIA DE ERRORES 1,1,4,,
TEORIA DE ERRORES 2,1,4,,
TEORIA DE INSTRUMENTAL,1,4,,
TEORIA DEL BUQUE,1,4,6,naval
TEORIA DE LENGUAJES,44,4,5,computacion
TEORIA DE MAQUINAS Y MECANISMOS,1,4,,
TEORIA DE RESTRICCIONES,1,4,,
TERMODINAMICA APL. A LA ING.DE PROCESOS,27,4,5,alimentos
TIEMPOS Y METODOS,1,4,6,produccion
TOPOGRAFIA 1,1,4,,
TOPOGRAFIA 2,1,4,,
TOPOGRAFIA 3,3,4,,
TOPOMETRIA,1,4,,
TRANSFERENCIA DE CALOR,7,4,,
TRANSFERENCIA DE CALOR 1,8,4,6,mecanica;naval
TRANSFERENCIA DE CALOR 2,51,4,7,mecanica;naval
TRANSFERENCIA DE CALOR Y MASA 1,27,4,6,alimentos;quimica
TRANSFERENCIA DE CALOR Y MASA 2,24,4,7,alimentos;quimica
TRANSPORTE AEREO,1,4,10,civil
TRANSPORTE DE ENERGIA ELECTRICA,1,4,,
TRANSPORTE FERROVIARIO,1,4,9,civil
TRANSPORTE FLUVIAL Y MARITIMO,1,4,10,civil
TRANSPORTE INDUSTRIAL,1,4,,
TRANSPORTE POR CARRETERA,10,4,9,civil
TRANSPORTE URBANO,1,4,10,civil
TRATAMIENTO DE EFLUENTES,2,4,8,civil
TRATAMIENTO DE EFLUENTES Y RESIDUOS SOLIDOS,3,4,,
VIBRACIONES Y ONDAS,4,4,4,mecanica
CALCULO Y AJUSTE DE LAS OBSERVACIONES,6,4,5,agrimensura
GEODESIA GEOMETRICA,7,2,5,agrimensura
QUIMICA DE ALIMENTOS,1,4,6,alimentos
TALLER DE CALIDAD DE DATOS GEOGRAFICOS,1,4,,
TOPOGRAFIA PLANIMETRICA,28,3,3,agrimensura
