materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
139,"INT. AL DERECHO",1,2.0,4,8.0,"A21",72,OK
141,"INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.",1,4.0,15,8.0,"116",6,OK
142,"INT. AL SISTEMA CLIMATICO",1,4.0,2,8.0,"A12",119,OK
143,"INT. AL TRANSPORTE",1,4.0,24,8.0,"725",20,OK
145,"LEGISLACION TERRITORIAL",1,4.0,6,12.0,"116",6,OK
149,"MANTENIMIENTO DE BUQUES",1,4.0,21,16.0,"116",6,OK
151,"MAQUINAS ELECTRICAS",1,2.5,22,8.0,"309",16,OK
154,"MAQUINAS PARA FLUIDOS II",1,4.0,21,8.0,"C21",25,OK
164,"MECANICA ESTRUCTURAL",1,4.0,21,8.0,"116",6,OK
167,"MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS",1,4.0,5,8.0,"31",35,OK
168,"METALURGIA DE TRANSFORMACION",1,4.0,24,8.0,"309",16,OK
170,"MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL",1,4.0,24,12.0,"116",6,OK
171,"METEOROLOGIA DINAMICA Y SINOPTICA",1,4.0,14,8.0,"B01",223,OK
173,"MODULO TALLER EXTENSION ING.AMBIENTAL 1",1,4.0,17,8.0,"B01",223,OK
174,"MODULO TALLER EXTENSION ING.AMBIENTAL 2",1,4.0,8,16.0,"116",6,OK
175,"MOTORES DE COMB. INT. Y TURBINAS DE GAS",1,4.0,20,8.0,"116",6,OK
176,"MOTORES DE COMBUSTION INTERNA",1,3.0,3,8.0,"311",29,OK
178,"OPTICA",1,4.0,19,16.0,"116",6,OK
180,"ORDENAMIENTO TERRITORIAL 2",1,4.0,15,12.0,"116",6,OK
182,"PLANEAMIENTO ESTRATEGICO Y ESTRATEGIA COMPETITIVA",1,4.0,12,8.0,"B01",223,OK
183,"POTABILIZACION DE AGUAS",1,4.0,24,8.0,"116",6,OK
188,"PRODUCCION CARTOGRAFICA",1,4.0,10,8.0,"116;309",22,OK
193,"PROYECTO DE INVERSION",1,4.0,12,8.0,"C01",194,OK
199,"REDES ELECTRICAS",1,3.0,16,8.0,"B01",223,OK
201,"REFRIGERACION INDUSTRIAL",1,4.0,13,8.0,"727",20,OK
202,"RELACIONES PERSONALES Y LABORALES",1,4.0,15,16.0,"116",6,OK
203,"REPRESENTACION GRAFICA PARA INDUSTRIAS DE PROC.",1,4.0,9,8.0,"C01",194,OK
207,"SEGURIDAD INDUSTRIAL",1,4.0,4,8.0,"311",29,OK
211,"SISTEMAS DE INFORMACION GEOGR. AVANZADO",1,4.0,17,8.0,"C01",194,OK
217,"TALLER DE CARTOGRAFIA",1,4.0,6,16.0,"116",6,OK
218,"TALLER DE DATOS ESPAC.Y SIST.DE INF.GEO.",1,4.0,7,16.0,"116",6,OK
220,"TECNOLOGIA DEL HORMIGON",1,4.0,24,12.0,"310",16,OK
221,"TECNOLOGIA DE SERVICIOS AUDIOVISUALES",1,4.0,10,8.0,"C01",194,OK
222,"TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",1,4.0,11,8.0,"C12",131,OK
223,"TECNOLOGIA Y SERV. INDUSTRIALES 1",1,4.0,9,16.0,"116",6,OK
