materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
180,"MECANICA ESTRUCTURAL",1,4.0,1,8.0,"A21;115;C11",137,OK
183,"MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS",1,4.0,18,8.0,"722;A11;309;725",71,OK
187,"METEOROLOGIA DINAMICA Y SINOPTICA",1,4.0,11,8.0,"A22",124,OK
189,"MODULO TALLER EXTENSION ING.AMBIENTAL 1",1,4.0,2,8.0,"309",16,OK
190,"MODULO TALLER EXTENSION ING.AMBIENTAL 2",1,4.0,11,8.0,"C12",131,OK
191,"MOTORES DE COMB. INT. Y TURBINAS DE GAS",1,4.0,24,12.0,"703",20,OK
194,"OPTICA",1,4.0,22,8.0,"A22",124,OK
196,"ORDENAMIENTO TERRITORIAL 2",1,4.0,13,8.0,"C12",131,OK
200,"PRINCIPIOS DE PROGRAMACION",1,4.0,1,8.0,"312",94,OK
205,"PRODUCCION CARTOGRAFICA",1,4.0,15,8.0,"A01",145,OK
212,"PROYECTO DE INVERSION",1,4.0,2,16.0,"722;309",26,OK
220,"REFRIGERACION INDUSTRIAL",1,4.0,13,8.0,"A01",145,OK
221,"RELACIONES PERSONALES Y LABORALES",1,4.0,23,8.0,"A11;310",41,OK
222,"REPRESENTACION GRAFICA PARA INDUSTRIAS DE PROC.",1,4.0,7,8.0,"311;C22;725;705",171,OK
226,"SEGURIDAD INDUSTRIAL",1,4.0,20,8.0,"C12",131,OK
230,"SISTEMAS DE INFORMACION GEOGR. AVANZADO",1,4.0,16,8.0,"307",180,OK
236,"TALLER DE CARTOGRAFIA",1,4.0,22,8.0,"A12",119,OK
239,"TECNOLOGIA DEL HORMIGON",1,4.0,3,12.0,"116;309;311",51,OK
240,"TECNOLOGIA DE SERVICIOS AUDIOVISUALES",1,4.0,12,8.0,"A22",124,OK
241,"TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",1,4.0,1,8.0,"703",20,OK
243,"TECNOLOGIA Y SERV. INDUSTRIALES 2",1,4.0,13,8.0,"B12",141,OK
248,"TEORIA DE INSTRUMENTAL",1,4.0,20,8.0,"A22",124,OK
249,"TEORIA DEL BUQUE",1,4.0,2,8.0,"C21",25,OK
251,"TEORIA DE MAQUINAS Y MECANISMOS",1,4.0,15,8.0,"B12",141,OK
252,"TEORIA DE RESTRICCIONES",1,4.0,10,8.0,"722",10,OK
255,"TOPOGRAFIA 1",1,4.0,19,8.0,"307",180,OK
256,"TOPOGRAFIA 2",1,4.0,11,11.0,"116;309",22,OK
258,"TOPOMETRIA",1,4.0,22,8.0,"C22",102,OK
265,"TRANSPORTE DE ENERGIA ELECTRICA",1,4.0,5,8.0,"501",62,OK
266,"TRANSPORTE FERROVIARIO",1,4.0,4,8.0,"B12",141,OK
268,"TRANSPORTE INDUSTRIAL",1,4.0,21,8.0,"B12;C11;703;309",202,OK
277,"TALLER DE CALIDAD DE DATOS GEOGRAFICOS",1,4.0,25,8.0,"309",16,OK
280,"GEODESIA ASTRONÓMICA",1,4.0,6,8.0,"C12",131,OK
281,"GEODESIA FÍSICA",1,4.0,23,8.0,"A21;A12;B11",241,OK
282,"HIDROGENO VERDE: PRODUCCIÓN Y USOS",1,4.0,2,8.0,"B21",39,OK
283,"MICROBIOLOGIA GENERAL",1,4.0,6,12.0,"309;116",22,OK
